,"SPDR S&P 500 ETF Trust - GJR-GARCH Volatility"
1993-02-01,0.11634750517308053
1993-02-02,0.11242591640720569
1993-02-03,0.1090305184799192
1993-02-04,0.10573678300383459
1993-02-05,0.10279585341831644
1993-02-08,0.09999896719466657
1993-02-09,0.10840105036391483
1993-02-10,0.10512913658924439
1993-02-11,0.10218034879564661
1993-02-12,0.11235016261670473
1993-02-16,0.2051760336881479
1993-02-17,0.19501424255679378
1993-02-18,0.1855222703612696
1993-02-19,0.17661108798713632
1993-02-22,0.16830033155047555
1993-02-23,0.1606146431680499
1993-02-24,0.15361419309425806
1993-02-25,0.14688749123053332
1993-02-26,0.14063916296679244
1993-03-01,0.13620266693424177
1993-03-02,0.1310858477487177
1993-03-03,0.1260328657136701
1993-03-04,0.12709827347371797
1993-03-05,0.1237869959244508
1993-03-08,0.12013125471749642
1993-03-09,0.1182180580114561
1993-03-10,0.11414558230610591
1993-03-11,0.1119593938890346
1993-03-12,0.1292573358846607
1993-03-15,0.12435440402333967
1993-03-16,0.11978981893299613
1993-03-17,0.12311700727356882
1993-03-18,0.1187182900820257
1993-03-19,0.11505739924055297
1993-03-22,0.11751411506708459
1993-03-23,0.11349837954790369
1993-03-24,0.10979985245891725
1993-03-25,0.10648453746906167
1993-03-26,0.11006626404125834
1993-03-29,0.10668555103667976
1993-03-30,0.10357029438984906
1993-03-31,0.10081587375011934
1993-04-01,0.10098690172492669
1993-04-02,0.1737680074121816
1993-04-05,0.16566568262618547
1993-04-06,0.15925407247540016
1993-04-07,0.1521402846060175
1993-04-08,0.14582859842980045
1993-04-12,0.1399516456494885
1993-04-13,0.1342133453871112
1993-04-14,0.1292420501230153
1993-04-15,0.12430036669294264
1993-04-16,0.1197399827960569
1993-04-19,0.11899455281650502
1993-04-20,0.11960318189747295
1993-04-21,0.11551105038047225
1993-04-22,0.1413104161765862
1993-04-23,0.13855986691679523
1993-04-26,0.14336310152894993
1993-04-27,0.13754559840285693
1993-04-28,0.13278062223080597
1993-04-29,0.12760053448163922
1993-04-30,0.12278818444785314
1993-05-03,0.11841858317004135
1993-05-04,0.11434518319544554
1993-05-05,0.11059260481605451
1993-05-06,0.10976561592775763
1993-05-07,0.10734416872844095
1993-05-10,0.10416650786121229
1993-05-11,0.1012881057182925
1993-05-12,0.09908353566561905
1993-05-13,0.1265086433410777
1993-05-14,0.1218725783759415
1993-05-17,0.11752495462666641
1993-05-18,0.11360218642262129
1993-05-19,0.11068911979051961
1993-05-20,0.10723730022711314
1993-05-21,0.12088965662950657
1993-05-24,0.11662868154960855
1993-05-25,0.11268414049900724
1993-05-26,0.10935138353034222
1993-05-27,0.10854118573150011
1993-05-28,0.1102663245057166
1993-06-01,0.1070181922852372
1993-06-02,0.10427707936071091
1993-06-03,0.1040110790252654
1993-06-04,0.10379579471250269
1993-06-07,0.10361915228373565
1993-06-08,0.11808381548713609
1993-06-09,0.1140368671965343
1993-06-10,0.11029525356967997
1993-06-11,0.106895416365717
1993-06-14,0.10417565204979522
1993-06-15,0.10224787645716658
1993-06-16,0.09950791888086094
1993-06-17,0.09702601280069174
1993-06-18,0.11000669725066743
1993-06-21,0.10660525728124293
1993-06-22,0.10348215324392898
1993-06-23,0.11834040493424045
1993-06-24,0.11457984011160079
1993-06-25,0.11089515805480417
1993-06-28,0.10765400243372282
1993-06-29,0.10952070215260674
1993-06-30,0.10615101921319456
1993-07-01,0.10478678351777003
1993-07-02,0.10867363912191401
1993-07-06,0.12751743269059332
1993-07-07,0.12272175357286905
1993-07-08,0.11850976668612592
1993-07-09,0.11442048610279543
1993-07-12,0.11074755726425753
1993-07-13,0.10738057366209215
1993-07-14,0.1042153038665627
1993-07-15,0.10519929885697908
1993-07-16,0.10394518170651297
1993-07-19,0.10116102846452284
1993-07-20,0.09852369785995652
1993-07-21,0.09622002660569161
1993-07-22,0.10539425183566702
1993-07-23,0.10242309485658008
1993-07-26,0.09972468942042387
1993-07-27,0.09731215751384818
1993-07-28,0.09606000374765764
1993-07-29,0.09393139602922977
1993-07-30,0.09941753225663974
1993-08-02,0.09693436480423236
1993-08-03,0.09465782820242602
1993-08-04,0.09258763675567057
1993-08-05,0.09181520854411866
1993-08-06,0.09001363896654774
1993-08-09,0.0884515982896861
1993-08-10,0.08709266306641451
1993-08-11,0.08573883274222947
1993-08-12,0.08659731011988767
1993-08-13,0.08529676054810054
1993-08-16,0.0841967046861099
1993-08-17,0.08315969696914487
1993-08-18,0.08227442105539241
1993-08-19,0.0814020090661158
1993-08-20,0.08062038824019642
1993-08-23,0.08112788349266854
1993-08-24,0.08068464389213105
1993-08-25,0.07997726101836697
1993-08-26,0.07934361070684898
1993-08-27,0.07890901545450939
1993-08-30,0.07843080109242796
1993-08-31,0.07797872709912622
1993-09-01,0.07809267263962734
1993-09-02,0.08097058799341894
1993-09-03,0.08023352242049453
1993-09-07,0.09193131588310918
1993-09-08,0.09303901310740564
1993-09-09,0.09112817895689565
1993-09-10,0.08956977771547722
1993-09-13,0.08797756236677623
1993-09-14,0.0908169898201873
1993-09-15,0.08912230629870392
1993-09-16,0.09181424791392674
1993-09-17,0.09096135948852128
1993-09-20,0.10533433969983388
1993-09-21,0.10497441288237815
1993-09-22,0.10213069156722675
1993-09-23,0.09945526773379076
1993-09-24,0.09871359480841532
1993-09-27,0.09653550455661378
1993-09-28,0.09529844028104552
1993-09-29,0.09598612774771155
1993-09-30,0.09481519435196027
1993-10-01,0.092782091806555
1993-10-04,0.09088975783882364
1993-10-05,0.08964566648756649
1993-10-06,0.08816540750203564
1993-10-07,0.08865435826850253
1993-10-08,0.08715343366729736
1993-10-11,0.08580386634645319
1993-10-12,0.08458129367655712
1993-10-13,0.083475673582188
1993-10-14,0.08289875632360234
1993-10-15,0.08203601014188831
1993-10-18,0.08318326947169125
1993-10-19,0.0962588715911422
1993-10-20,0.0940464984994125
1993-10-21,0.09248413896447324
1993-10-22,0.09611178803872082
1993-10-25,0.09392506438645651
1993-10-26,0.09203668116571784
1993-10-27,0.09021082108040032
1993-10-28,0.08868601806372862
1993-10-29,0.08717755949784324
1993-11-01,0.08583296639403766
1993-11-02,0.08472384127269018
1993-11-03,0.1204378940367192
1993-11-04,0.13767328368278287
1993-11-05,0.13213302796802925
1993-11-08,0.1269746106904841
1993-11-09,0.12220777258423458
1993-11-10,0.11791014460172627
1993-11-11,0.11532043860478507
1993-11-12,0.11151555353402502
1993-11-15,0.1080763846545581
1993-11-16,0.10487221824677878
1993-11-17,0.10823158670184967
1993-11-18,0.10655611310478624
1993-11-19,0.10434775416845347
1993-11-22,0.10957361087415164
1993-11-23,0.10625801974439389
