,"美国iShares安硕MSCI德国指数ETF - 指数GARCH模型波动率预测"
1997-09-26,0.18915873334318986
1997-09-29,0.1913332642276298
1997-09-30,0.18915586906041273
1997-10-01,0.18466549650652123
1997-10-02,0.1745402681331732
1997-10-03,0.16941863533861912
1997-10-06,0.17267225486452653
1997-10-07,0.16936128483215993
1997-10-08,0.16035131056527102
1997-10-09,0.17862750740017616
1997-10-10,0.18888122934796883
1997-10-13,0.18903646314930886
1997-10-14,0.2049981112108109
1997-10-15,0.21323175279493436
1997-10-16,0.21444903170683705
1997-10-17,0.26024564780222553
1997-10-20,0.2443004756442361
1997-10-21,0.2405565746347416
1997-10-22,0.232175083934517
1997-10-23,0.3509754606806579
1997-10-24,0.334089493399598
1997-10-27,0.38574711146034524
1997-10-28,0.3771012649143463
1997-10-29,0.39425215180135675
1997-10-30,0.38819193190997675
1997-10-31,0.3819360407188617
1997-11-03,0.3632599399878825
1997-11-04,0.34323376931764743
1997-11-05,0.32454851902296517
1997-11-06,0.3161623355176894
1997-11-07,0.3304632947847613
1997-11-10,0.3087428541683192
1997-11-11,0.2964628415164369
1997-11-12,0.31344865991099724
1997-11-13,0.30689361283676136
1997-11-14,0.30839196876702224
1997-11-17,0.29064377165182814
1997-11-18,0.28327987009316424
1997-11-19,0.27209420500995607
1997-11-20,0.2617493587384695
1997-11-21,0.2520174493958702
1997-11-24,0.27300973828784936
1997-11-25,0.26251027179902886
1997-11-26,0.25516897460310495
1997-11-28,0.2441107576490639
1997-12-01,0.24685594746734377
1997-12-02,0.23920650074778485
1997-12-03,0.2333272945885243
1997-12-04,0.2256384701242233
1997-12-05,0.21241681289389502
1997-12-08,0.20021065006637384
