,"美国iShares安硕MSCI英国指数ETF - GJR-GARCH模型波动率预测"
1996-04-08,0.15777366624376832
1996-04-09,0.15433340727140057
1996-04-10,0.14842850763919982
1996-04-15,0.14618629935804517
1996-04-16,0.14152323639600672
1996-04-19,0.143447880291066
1996-04-22,0.1382652776368673
1996-04-24,0.1466642766320415
1996-04-29,0.14407342503043372
1996-04-30,0.14173086537518917
1996-05-02,0.20225854938666993
1996-05-03,0.1939106062081185
1996-05-06,0.18608207543984456
1996-05-07,0.18742449999933308
1996-05-08,0.18173385925578095
1996-05-09,0.17681565315322056
1996-05-10,0.17006955283059927
1996-05-13,0.18679136168463464
1996-05-14,0.17941101638416743
1996-05-16,0.17432045663088427
1996-05-17,0.1677507400877862
1996-05-20,0.16098308606807113
1996-05-21,0.1576774120792195
1996-05-22,0.16377607517583267
1996-05-24,0.15988892269322474
1996-05-28,0.15362348609506296
1996-05-29,0.1544856750640654
1996-05-30,0.174197029825425
1996-05-31,0.16763540437509014
1996-06-03,0.1670115924120239
1996-06-04,0.1602907944955043
1996-06-05,0.15660307008484858
1996-06-06,0.15315371102261938
1996-06-07,0.18926967427456518
1996-06-10,0.18345238183245266
1996-06-11,0.1762869637834857
1996-06-12,0.17483556274396808
1996-06-13,0.17705186697688338
1996-06-14,0.19274078032424793
1996-06-17,0.19854757918443627
1996-06-18,0.1904007426456105
1996-06-19,0.18441396042599378
1996-06-21,0.18558141609547008
1996-06-24,0.17770382438203183
1996-06-25,0.1813747799447321
1996-06-26,0.17375589774163064
1996-06-28,0.17259868481538324
1996-07-01,0.1655255267322838
1996-07-02,0.17059498351358404
1996-07-05,0.16968408410926464
1996-07-08,0.16279421979910713
1996-07-09,0.15890731260706664
1996-07-11,0.15335414660190966
1996-07-12,0.15022936783465476
1996-07-15,0.17081796626818854
1996-07-16,0.24425828297112057
1996-07-18,0.2551109476286739
1996-07-23,0.2437153175325671
1996-07-24,0.24062921269039636
1996-07-25,0.22994102722219886
1996-07-29,0.22005217381339365
1996-07-30,0.2120034433682623
1996-07-31,0.2047925340436023
1996-08-01,0.19849236055828445
1996-08-02,0.1948612490979158
1996-08-12,0.18877459892686832
1996-08-14,0.18355311165981364
1996-08-15,0.17827312641001167
1996-08-21,0.17138338075787865
1996-08-22,0.16980084805441933
1996-08-23,0.16344631045086336
1996-08-27,0.15763056188442648
1996-08-28,0.16104889692264274
1996-08-29,0.15530190146936387
1996-08-30,0.17286595616257125
1996-09-03,0.17518819480775524
1996-09-04,0.17014747485637277
1996-09-05,0.16322838723702443
1996-09-06,0.15732869083546078
1996-09-09,0.15203859115369361
1996-09-10,0.14628412832566628
1996-09-11,0.14441593928649288
1996-09-12,0.13916816273846544
1996-09-13,0.14079529608619742
1996-09-16,0.13579228844083896
1996-09-17,0.1311323808980833
1996-09-18,0.129610034333766
1996-09-19,0.1282514252552384
1996-09-20,0.1269546931783146
1996-09-23,0.1667552637849852
1996-09-24,0.16268714270033757
1996-09-25,0.16696156563712503
1996-09-30,0.160811507050957
1996-10-01,0.1700120513375449
1996-10-03,0.16519063532779332
1996-10-04,0.1610582068694421
1996-10-07,0.1756199897505976
1996-10-08,0.16835789378582758
1996-10-09,0.17148693827810912
1996-10-11,0.17330266472273298
1996-10-17,0.16687052825469212
1996-10-18,0.16067629196617653
1996-10-21,0.15646993564260198
1996-10-22,0.15115576853034754
1996-10-23,0.1557672606166007
1996-10-24,0.18501560150430557
1996-10-28,0.20061434046448426
1996-10-30,0.2335170863127579
1996-10-31,0.22609484823852136
1996-11-05,0.21631170842097291
1996-11-06,0.20659170167264707
1996-11-07,0.22487146728742624
1996-11-11,0.221176505081349
1996-11-12,0.2115501982981817
1996-11-14,0.2025037244101945
1996-11-15,0.19360242870377428
1996-11-18,0.18941614186758213
1996-11-19,0.1817270645776242
1996-11-20,0.17408639923899855
1996-11-21,0.1673753637785442
1996-11-22,0.16281202044075246
1996-11-25,0.15823672494083035
1996-11-26,0.15272910960259017
1996-11-27,0.17894880049891368
1996-11-29,0.17320783123173158
1996-12-02,0.1660965165197633
1996-12-03,0.17756266837373222
1996-12-04,0.21399708035391513
1996-12-05,0.20820843786936205
1996-12-09,0.19896724655078285
1996-12-12,0.19027787995455486
1996-12-13,0.18383550581974092
1996-12-16,0.176065039119071
1996-12-17,0.16877528610551962
1996-12-19,0.16993273257380406
1996-12-20,0.1670705790975778
1996-12-23,0.16105468636460102
1996-12-24,0.15471420296792407
1996-12-26,0.15105814178653199
1996-12-30,0.14586058987951475
1996-12-31,0.16494110221530592
1997-01-02,0.29690265677491
1997-01-03,0.28259214638768715
1997-01-06,0.27368807135131046
1997-01-07,0.2617840636860846
1997-01-08,0.24944333063844384
1997-01-09,0.23780452560874443
1997-01-10,0.23949850604962028
1997-01-13,0.2284299209823442
1997-01-14,0.2195595372558432
1997-01-15,0.2096487662734985
1997-01-16,0.21323931626226905
1997-01-17,0.20507130174649013
1997-01-20,0.19745220586258339
1997-01-21,0.18885394356486176
1997-01-22,0.18805617671323643
1997-01-23,0.18637578168850158
1997-01-24,0.19441761957188963
1997-01-27,0.18600236127533434
1997-01-28,0.18001817908200274
1997-01-29,0.18041334540437967
1997-01-30,0.17285378329675055
1997-01-31,0.17292556895959604
1997-02-03,0.17338618284050206
1997-02-04,0.1744769463281611
1997-02-05,0.1716009335638941
1997-02-06,0.16636885646057678
1997-02-07,0.16148182684128887
1997-02-10,0.1555717321366578
1997-02-11,0.16224042159708535
1997-02-12,0.184506585248332
1997-02-13,0.19242018709064806
1997-02-14,0.19810190105094905
1997-02-18,0.2756203628181343
1997-02-19,0.27015674783354937
1997-02-20,0.2573429587146305
1997-02-21,0.24525415959775282
1997-02-24,0.23385499353231695
1997-02-25,0.2234251122859738
1997-02-26,0.2187931077525067
1997-02-27,0.24207765696156266
1997-02-28,0.23086075803392836
1997-03-03,0.22029115824290363
1997-03-04,0.21218736814428896
1997-03-05,0.20271050392123247
1997-03-06,0.19994167949679728
1997-03-07,0.19699119371180027
1997-03-10,0.19204579141444367
1997-03-11,0.185820523086122
1997-03-12,0.17971261057588586
1997-03-13,0.228519095919794
1997-03-14,0.22695200461771647
1997-03-17,0.23807835180881107
1997-03-18,0.23297429042707696
1997-03-19,0.2222822826947753
1997-03-20,0.2176667691679187
1997-03-21,0.20821448940935885
1997-03-25,0.2082186648694108
1997-03-26,0.20058645218458795
1997-03-27,0.19179992700728538
1997-03-31,0.1855921431526669
1997-04-01,0.1782357337909545
1997-04-02,0.22786936784043615
1997-04-03,0.2207008799257493
1997-04-04,0.21105216416800848
1997-04-07,0.21534283363975687
1997-04-08,0.2090626279371806
1997-04-10,0.20011496795592276
1997-04-11,0.19714930890064009
1997-04-14,0.1889367227407102
1997-04-15,0.18262350122588278
1997-04-16,0.17492756901071943
1997-04-17,0.1681117128578494
1997-04-18,0.16173677503895026
1997-04-21,0.15578073629303466
1997-04-22,0.15183000414937753
1997-04-23,0.14790406850387855
1997-04-24,0.14242304659007965
1997-04-25,0.18548946385172393
1997-04-28,0.1880623407277491
1997-04-29,0.1861705540626659
1997-04-30,0.2023050795210046
1997-05-01,0.19476073937013078
1997-05-02,0.18667071328947132
1997-05-05,0.18019041927916146
1997-05-06,0.19126581816937394
1997-05-07,0.18867992898027072
1997-05-08,0.20286788804539768
1997-05-09,0.20205324050853526
1997-05-12,0.19317886840956494
1997-05-13,0.19302278829195274
1997-05-14,0.18594565335064975
1997-05-15,0.17804582219192902
1997-05-16,0.170966975758478
1997-05-19,0.17637221209703074
1997-05-20,0.19214942622865155
1997-05-21,0.1922141368370183
1997-05-22,0.18520931941994712
1997-05-23,0.179168419092205
1997-05-27,0.17326805360481198
1997-05-28,0.166498540534144
1997-05-29,0.16126796830120976
1997-05-30,0.1695956968793725
1997-06-02,0.17706047780348955
1997-06-04,0.17545109062071973
1997-06-05,0.16964034190015062
1997-06-06,0.16639096970689246
1997-06-09,0.16333163808644055
1997-06-10,0.16301388284437618
1997-06-11,0.15654775335340973
1997-06-12,0.1751689184758529
1997-06-13,0.18505693502271134
1997-06-16,0.18953989553653341
1997-06-17,0.18727102498785017
1997-06-18,0.180581301357588
1997-06-19,0.17334090342443703
1997-06-20,0.16622125856821082
1997-06-23,0.1722462376947607
1997-06-24,0.16658599941171529
1997-06-25,0.1656635530223833
1997-06-26,0.16832945196845384
1997-06-27,0.16293541051594648
1997-06-30,0.16326859955300652
1997-07-01,0.16608316470973208
1997-07-02,0.16281914015250173
1997-07-03,0.1895655538329683
1997-07-07,0.19253651290080018
1997-07-08,0.18537021119910285
1997-07-09,0.18302756841525267
1997-07-10,0.17669582338018067
1997-07-11,0.18152789537699157
1997-07-14,0.1848647613797719
1997-07-15,0.18732423762022893
1997-07-16,0.2069438619529461
1997-07-17,0.19777782990011797
1997-07-18,0.2258964222824257
1997-07-21,0.22005767062295284
1997-07-22,0.2111069624621604
1997-07-23,0.20826489190451664
1997-07-24,0.23513356204506408
1997-07-25,0.22431668239344127
1997-07-28,0.21872710120147434
1997-07-29,0.21898841887186637
1997-07-30,0.20911113887117538
1997-07-31,0.20717516067328148
1997-08-01,0.20849327471167986
1997-08-04,0.2003155330971615
1997-08-05,0.19624018854454864
1997-08-06,0.19294489679698712
1997-08-07,0.18741649980724753
1997-08-08,0.19888883226566545
1997-08-11,0.19133556909262847
1997-08-12,0.18567651224643356
1997-08-13,0.1777930707311171
1997-08-14,0.17533887988692068
1997-08-15,0.17404122959804666
1997-08-18,0.18852126033951713
1997-08-19,0.18562411696759665
1997-08-20,0.18858481062906418
1997-08-21,0.19148071965605312
1997-08-25,0.21014778799692374
1997-08-26,0.22058158490680949
1997-08-27,0.22093106436171442
1997-08-28,0.23912183840042717
1997-08-29,0.22910759393787017
1997-09-02,0.21988434050654904
1997-09-03,0.21703465529725893
1997-09-04,0.225696761164178
1997-09-05,0.21804709949916784
1997-09-08,0.21334169212791015
1997-09-09,0.20493362535221007
1997-09-10,0.23771040616683148
1997-09-11,0.23121666202936156
1997-09-15,0.22208714505797045
1997-09-16,0.22259920754575926
1997-09-17,0.21510731368319394
1997-09-18,0.20651398596705262
1997-09-19,0.20200066435534314
1997-09-22,0.19753412464685693
1997-09-23,0.18893092070913114
1997-09-24,0.1811414905536553
1997-09-25,0.17653066589122696
1997-09-26,0.17191190534689565
1997-09-29,0.16984462311183127
1997-09-30,0.17101096806930252
1997-10-01,0.16403752009829947
1997-10-02,0.16059965877921412
1997-10-03,0.15553405839236628
1997-10-06,0.15471536756250168
1997-10-07,0.15007679474189206
1997-10-08,0.15624860460176918
1997-10-09,0.17196818542974743
1997-10-10,0.1770638223918144
1997-10-13,0.19847934703641085
1997-10-14,0.2159368991163854
1997-10-15,0.20735656247150705
1997-10-16,0.19841166296364737
1997-10-17,0.20728746127057465
1997-10-20,0.2023697180904297
1997-10-21,0.20356907132469804
1997-10-22,0.19460405031756145
1997-10-23,0.4105477979480587
1997-10-24,0.3953403961145382
1997-10-27,0.4151324945122942
1997-10-28,0.41925822496404286
1997-10-29,0.46535637182701173
1997-10-30,0.44710601427401986
1997-10-31,0.4387240987226483
1997-11-03,0.4168245256699754
1997-11-04,0.39650319847385845
1997-11-06,0.37731180686535637
1997-11-07,0.4086978605277987
1997-11-10,0.38971157026703734
1997-11-11,0.37090922663099124
1997-11-12,0.3759928041864631
1997-11-13,0.35822335099767016
1997-11-14,0.3491818758183191
1997-11-17,0.33476514334679464
1997-11-18,0.32997156968441993
1997-11-19,0.314635268843148
1997-11-20,0.30004760022369786
1997-11-21,0.29268567645171845
1997-11-24,0.3072388686348132
1997-11-25,0.2925337580519554
1997-11-26,0.27922984081218827
1997-11-28,0.27392929525700604
1997-12-01,0.2714670344627502
1997-12-02,0.25949683697494275
1997-12-03,0.30064561929288114
1997-12-04,0.29841093947776115
1997-12-05,0.28419288661048503
1997-12-08,0.27538954228510565
1997-12-09,0.26976333627830157
1997-12-10,0.2856712852213187
1997-12-11,0.2721749069991574
1997-12-12,0.26245324383592594
1997-12-15,0.25402392249550043
1997-12-16,0.2477419253981853
1997-12-17,0.24447695596926924
1997-12-18,0.25511746706174393
1997-12-19,0.2754936115411753
1997-12-22,0.26330956761956065
1997-12-23,0.2530279533964578
1997-12-24,0.2633936309024954
1997-12-26,0.2509617612306704
1997-12-29,0.2536090132467693
1997-12-30,0.24173263577762935
1997-12-31,0.26234582672495477
1998-01-02,0.2601572255387115
1998-01-05,0.24817735674311628
1998-01-06,0.23661085773903107
1998-01-07,0.22690764112299083
1998-01-08,0.22030534264969606
1998-01-09,0.3324502110091073
1998-01-12,0.31635050497825984
1998-01-13,0.30272249470430834
1998-01-14,0.2912325895225326
1998-01-15,0.2780015230174108
1998-01-16,0.28071247353831646
1998-01-20,0.2673055487639567
1998-01-21,0.26792303820313773
1998-01-22,0.2560195922190331
1998-01-23,0.24598445072808972
1998-01-26,0.23454347656671246
1998-01-27,0.2293443943069026
1998-01-28,0.21886283649811358
1998-01-29,0.20987126053845487
1998-01-30,0.20160106249720014
1998-02-02,0.20838845649411583
1998-02-03,0.2170388352346188
1998-02-04,0.2154090583053554
1998-02-05,0.20778378570042466
1998-02-06,0.202558595966698
1998-02-09,0.24882444172548646
1998-02-10,0.24038266742841505
1998-02-11,0.22926317977381366
1998-02-12,0.23241369236772605
1998-02-13,0.22724611679850548
1998-02-17,0.2220481083008815
1998-02-18,0.21275808797787218
1998-02-19,0.21053362201795703
1998-02-20,0.20136336111616732
1998-02-23,0.19463855733127491
