,"美国iShares安硕MSCI德国指数ETF - GJR-GARCH模型波动率预测"
1996-04-02,0.08924755055462306
1996-04-03,0.10532248477889229
1996-04-04,0.10744037676776827
1996-04-08,0.10934865266659667
1996-04-09,0.10875732968402636
1996-04-10,0.10748527173524754
1996-04-11,0.10632089559442207
1996-04-12,0.10525600790453721
1996-04-15,0.10428287913171558
1996-04-16,0.10339429036460379
1996-04-17,0.10575958850146876
1996-04-18,0.10474296940606563
1996-04-19,0.10457421670756134
1996-04-22,0.1068043684499843
1996-04-23,0.10569807150558613
1996-04-24,0.11878669470946651
1996-04-25,0.11957987656792424
1996-04-26,0.11812073992318199
1996-04-29,0.12732495372078484
1996-04-30,0.1665411408631513
1996-05-01,0.16161956440975828
1996-05-02,0.15648763439965474
1996-05-03,0.15225041793046087
1996-05-06,0.14773951698851598
1996-05-07,0.14353487381121008
1996-05-08,0.14021981643120204
1996-05-09,0.13653771171365076
1996-05-10,0.13311754069242718
1996-05-13,0.1524869067166096
1996-05-14,0.15302204664688027
1996-05-15,0.14921855849725932
1996-05-16,0.14491294724764933
1996-05-17,0.14320735721323818
1996-05-20,0.13931575187321785
1996-05-21,0.1454297013680493
1996-05-22,0.14138389611267616
1996-05-23,0.13997839133237672
1996-05-24,0.13631333698505074
1996-05-28,0.1354465069317035
1996-05-29,0.13468031081045218
1996-05-30,0.1313939258870059
1996-05-31,0.12898610576337283
1996-06-03,0.12611735534810425
1996-06-04,0.12412171010745864
1996-06-05,0.12468094561720328
1996-06-06,0.12213609491055459
1996-06-07,0.11978634780307813
1996-06-10,0.1303275246446429
1996-06-12,0.12735932757360177
1996-06-17,0.12731480008231563
1996-06-18,0.1406652315250645
1996-06-19,0.14625629586448577
1996-06-20,0.1528351335262936
1996-06-21,0.15056325089476516
1996-06-24,0.14836913263883428
1996-06-25,0.1495331117846479
1996-06-26,0.147447117164087
1996-06-27,0.14380922487796116
1996-06-28,0.1424489921340267
1996-07-01,0.14173622599744923
1996-07-02,0.1379474547789846
1996-07-03,0.13520427478449046
1996-07-05,0.14292736379014342
1996-07-08,0.13905527951142307
1996-07-09,0.15807911133353453
1996-07-11,0.15536645313580408
1996-07-12,0.15312905263208548
1996-07-15,0.1485590779454423
1996-07-16,0.14429841204947477
1996-07-17,0.1425600454545382
1996-07-18,0.14130804435700042
1996-07-19,0.14069880895018266
1996-07-22,0.19090163330888502
1996-07-23,0.18596930069234546
1996-07-24,0.197254989290512
1996-07-25,0.20082639069604372
1996-07-26,0.19325914312135403
1996-07-29,0.19309405790961048
1996-07-30,0.18599050620932242
1996-07-31,0.19504118334341594
1996-08-01,0.1878202513042723
1996-08-02,0.18103698296204562
1996-08-05,0.1750997795544015
1996-08-06,0.17094729714154594
1996-08-07,0.16566781220261226
1996-08-09,0.16027310691441657
1996-08-12,0.15723479271458973
1996-08-13,0.157203072107386
1996-08-14,0.1543665419707263
1996-08-15,0.15918918179323618
1996-08-16,0.15470192125503807
1996-08-19,0.15069902839766422
1996-08-20,0.14629288786540515
1996-08-21,0.15213253261547974
1996-08-22,0.14813660870966366
1996-08-23,0.1462975990233606
1996-08-26,0.14268724371856092
1996-08-27,0.13883192413850642
1996-08-28,0.15675376818437253
1996-08-29,0.15402624412742136
1996-08-30,0.1523008259990733
1996-09-03,0.14996966093180314
1996-09-04,0.14614614589512787
1996-09-05,0.14205092058835803
1996-09-06,0.13899653276251175
1996-09-09,0.13596336668382406
1996-09-10,0.14348464405642855
1996-09-11,0.13957372503447774
1996-09-12,0.1367064561752663
1996-09-13,0.1382879122700173
1996-09-16,0.13549096589809964
1996-09-17,0.13214605328953263
1996-09-18,0.15143344478681056
1996-09-19,0.14749136734060064
1996-09-20,0.14572714352515115
1996-09-23,0.17603290374245378
1996-09-24,0.17749928901266057
1996-09-25,0.17178242052084375
1996-09-26,0.1659966553879927
1996-09-27,0.162484409098227
1996-09-30,0.15995943735835033
1996-10-01,0.15558734652920847
1996-10-02,0.15278352450444388
1996-10-03,0.15027932193086313
1996-10-04,0.14787981282108792
1996-10-07,0.1436655678998973
1996-10-08,0.13974205837900056
1996-10-09,0.13609370301376916
1996-10-10,0.15198191155529003
1996-10-11,0.14946304814234185
1996-10-14,0.15334709687503054
1996-10-15,0.15071975398069093
1996-10-16,0.14838126768564824
1996-10-17,0.1446380327576395
1996-10-18,0.1430291661165652
1996-10-21,0.13914998153072103
1996-10-22,0.13554355373827265
1996-10-23,0.14247579962927037
1996-10-24,0.1472046718008637
1996-10-25,0.1475558690123846
1996-10-28,0.14404261994284887
1996-10-29,0.14297303046379062
1996-10-30,0.13909776072963934
1996-10-31,0.15442370077161083
1996-11-01,0.1517113104550877
1996-11-04,0.147727201286696
1996-11-05,0.15174814806118722
1996-11-06,0.15973517959422714
1996-11-07,0.16218589334464326
1996-11-08,0.15880816729626976
1996-11-11,0.1559661309387394
1996-11-12,0.15378731313083013
1996-11-13,0.15132604746044218
1996-11-14,0.14687749752770166
1996-11-15,0.14461735912400006
1996-11-18,0.14062776653278683
1996-11-19,0.13691689873788407
1996-11-20,0.13414947275334332
1996-11-21,0.13377434686814957
1996-11-22,0.1389539027159727
1996-11-25,0.13536137100369514
1996-11-26,0.13417854880717708
1996-11-27,0.1409552252312769
1996-11-29,0.13957812135144962
1996-12-02,0.13644482577217795
1996-12-03,0.13303132157503358
1996-12-04,0.1398864839789749
1996-12-05,0.14118860832234306
1996-12-06,0.16996290771812536
1996-12-09,0.16471727778226544
1996-12-10,0.1612042790995326
1996-12-11,0.16349602563976898
1996-12-12,0.16079732460460902
1996-12-13,0.15764823424320365
1996-12-16,0.15324991236539093
1996-12-17,0.14867182180897628
1996-12-18,0.15258077860595678
1996-12-19,0.1485396116865801
1996-12-20,0.14917833435187564
1996-12-23,0.14690943210018886
1996-12-24,0.14325826468305417
1996-12-26,0.1393631083178041
1996-12-27,0.13574156990399075
1996-12-30,0.1329094533883877
1996-12-31,0.13224171096896772
1997-01-02,0.13928879753950066
1997-01-03,0.13782424721361622
1997-01-06,0.13483530754220127
1997-01-07,0.13153771824081487
1997-01-08,0.13737225309355597
1997-01-09,0.13442166387900428
1997-01-10,0.13168978320279823
1997-01-13,0.12862127382357866
1997-01-14,0.1283467656000727
1997-01-15,0.12552564710050293
1997-01-16,0.12347324471317662
1997-01-17,0.12336556942680565
1997-01-20,0.12092121253113533
1997-01-21,0.14117122284658443
1997-01-22,0.14725750873894344
1997-01-23,0.14540842107663504
1997-01-24,0.1418613118506945
1997-01-27,0.1463746527237554
1997-01-28,0.14276197434891408
1997-01-29,0.14102160855698676
1997-01-30,0.1377993145120831
1997-01-31,0.13940196167916719
1997-02-03,0.13628174859459355
1997-02-04,0.1328799479229278
1997-02-05,0.1348335133414538
1997-02-06,0.13439530304292632
1997-02-07,0.1334914163532622
1997-02-10,0.13079464530323864
1997-02-11,0.12830099968433606
1997-02-12,0.12763539681452007
1997-02-13,0.12486746013273436
1997-02-14,0.12230843192519476
1997-02-18,0.12048755653593445
1997-02-19,0.12054675242411138
1997-02-20,0.17003880380666053
1997-02-21,0.16842553606861402
1997-02-24,0.16325995589856074
1997-02-25,0.16210189018021967
1997-02-26,0.15693843888608044
1997-02-27,0.15211437683532744
1997-02-28,0.14761264336092625
1997-03-03,0.1520313809711666
1997-03-04,0.15870908707443313
1997-03-05,0.15432014813367695
1997-03-06,0.14967037101577588
1997-03-07,0.14533401955495484
1997-03-10,0.14862275169031156
1997-03-11,0.14600330393521924
1997-03-12,0.14191792275819146
1997-03-13,0.19588544509483088
1997-03-14,0.20441928676130341
1997-03-17,0.2175748257496717
1997-03-18,0.21386408955222005
1997-03-20,0.23726686494325328
1997-03-21,0.2323641900121445
1997-03-24,0.22406945173316242
1997-03-25,0.21995108819917214
1997-03-26,0.2160026499837444
1997-03-27,0.20781859012128823
1997-03-31,0.2418096623379637
1997-04-01,0.2501505130916185
1997-04-02,0.2580382576285927
1997-04-03,0.2579208925232696
1997-04-04,0.2515709347281597
1997-04-07,0.24109233417925174
1997-04-08,0.23119987716259716
1997-04-09,0.22186701963112948
1997-04-10,0.2130684819488795
1997-04-11,0.20607233002031108
1997-04-14,0.19954003808759782
1997-04-15,0.19238266242049984
1997-04-16,0.18532214870327832
1997-04-17,0.18219225998927616
1997-04-18,0.17575474844225406
1997-04-21,0.16971831250634092
1997-04-23,0.17041548521187858
1997-04-24,0.1795526841904626
1997-04-25,0.17327888850059028
1997-04-28,0.18237115232404497
1997-04-29,0.18196133435430728
1997-04-30,0.18131898742271865
1997-05-01,0.18090581085194582
1997-05-02,0.17591139474178472
1997-05-05,0.17572485083220302
1997-05-06,0.17002687317009627
1997-05-07,0.17009007378445104
1997-05-08,0.1658024523340955
1997-05-09,0.17375285206292299
1997-05-12,0.17102003040579777
1997-05-13,0.16528259799507022
1997-05-14,0.16179729540384785
1997-05-15,0.15665373445915676
1997-05-16,0.1523255109297192
1997-05-19,0.15474610806091377
1997-05-20,0.15600102691969692
1997-05-21,0.1641398781527512
1997-05-22,0.1642941009287917
1997-05-23,0.15932043936670526
1997-05-27,0.155688656234165
1997-05-28,0.16350342381736233
1997-05-29,0.158248803976523
1997-05-30,0.1770074540803296
1997-06-02,0.17089245038912634
1997-06-03,0.16647356546911585
1997-06-04,0.16102698904220994
1997-06-05,0.1575358599176708
1997-06-06,0.1540463012214185
1997-06-09,0.1494148450455978
1997-06-10,0.14676508372225322
1997-06-11,0.14262728084065826
1997-06-12,0.13877615169761698
1997-06-13,0.13670017937076748
1997-06-16,0.133647263945058
1997-06-17,0.1367847030921221
1997-06-18,0.14072147298831122
1997-06-19,0.14719941616732043
1997-06-20,0.1497792752018783
1997-06-23,0.14578280639362107
1997-06-24,0.14519539455506156
1997-06-25,0.14458534531549178
1997-06-26,0.14202781220591973
1997-06-27,0.14499191867135217
1997-06-30,0.20640865098149352
1997-07-01,0.20293452047396962
1997-07-02,0.19559152435624608
1997-07-03,0.19796421494805572
1997-07-07,0.20017936956639662
1997-07-08,0.19265067557628754
1997-07-09,0.18557394752496914
1997-07-10,0.1803842199306802
1997-07-11,0.1743229141564585
1997-07-14,0.16874534660250637
1997-07-15,0.1643181803696718
1997-07-16,0.16639642183652872
1997-07-17,0.16338547548665397
1997-07-18,0.17573940593959
1997-07-21,0.18802421439803968
1997-07-22,0.18774214763872285
1997-07-23,0.18985360570713425
1997-07-24,0.2173590577822788
1997-07-25,0.20882099032424875
1997-07-28,0.20100054626791442
1997-07-29,0.19447898395456512
1997-07-30,0.19180721884225319
1997-07-31,0.1909203771209349
1997-08-01,0.21820312280075185
1997-08-04,0.24308376334095208
1997-08-05,0.2472295977426651
1997-08-06,0.2425279860139856
1997-08-07,0.2376659302466384
1997-08-08,0.23176955451482406
1997-08-11,0.23678966362575882
1997-08-12,0.22914762752426654
1997-08-13,0.22079163571113833
1997-08-14,0.2272962349006248
1997-08-15,0.25228369031707143
1997-08-18,0.24933809095282655
1997-08-19,0.25269229905163315
1997-08-20,0.24215134771460595
1997-08-21,0.2324015481876143
1997-08-22,0.26704399862195
1997-08-25,0.25648012554582084
1997-08-26,0.2534043369794605
1997-08-27,0.24282383243825142
1997-08-28,0.24202534164834888
1997-08-29,0.24823974540753946
1997-09-02,0.24961203576750862
1997-09-03,0.2428952218550213
1997-09-04,0.23290148303520955
1997-09-05,0.22435824477830094
1997-09-08,0.21647928492121363
1997-09-09,0.21255367322161242
1997-09-10,0.2668234202614156
1997-09-11,0.2557060484227935
1997-09-12,0.25292714445072917
1997-09-15,0.24431445229457877
1997-09-16,0.24034649737410363
1997-09-17,0.2304959956268221
1997-09-18,0.22120327845671728
1997-09-19,0.21337511757466007
1997-09-22,0.20743748552274732
1997-09-23,0.2041976395554072
1997-09-24,0.19888484105129783
1997-09-25,0.19566404779621624
1997-09-26,0.18840566551990948
1997-09-29,0.18584581351216925
1997-09-30,0.18363038964180195
1997-10-01,0.17939366878460344
1997-10-02,0.17312975827396052
1997-10-03,0.1685047417730433
1997-10-06,0.17274834644650003
1997-10-07,0.16796482131684598
1997-10-08,0.16242243810508447
1997-10-09,0.17610410898102294
1997-10-10,0.1806591531032956
1997-10-13,0.1813690833631796
1997-10-14,0.19233261813847385
1997-10-15,0.1951908081852217
1997-10-16,0.19268520545179385
1997-10-17,0.24906323775298514
1997-10-20,0.23872436239311648
1997-10-21,0.23485490754932076
1997-10-22,0.22717041972933008
1997-10-23,0.4014862328897468
1997-10-24,0.38439552911031627
1997-10-27,0.426143527933958
1997-10-28,0.41541667178869945
1997-10-29,0.4179608699388018
1997-10-30,0.4043769385115823
1997-10-31,0.3980708127959145
1997-11-03,0.38058790784784535
1997-11-04,0.3638988474837479
1997-11-05,0.3479941602958303
1997-11-06,0.3348782274200579
1997-11-07,0.3375797239171808
1997-11-10,0.3224672132170959
1997-11-11,0.30913389914404404
1997-11-12,0.3154490798845354
1997-11-13,0.3086483222050624
1997-11-14,0.302595561765205
1997-11-17,0.2895243906823741
1997-11-18,0.28202170129264875
1997-11-19,0.27177213102156006
1997-11-20,0.26210677747818734
1997-11-21,0.25187231765321094
1997-11-24,0.26527570865045297
1997-11-25,0.254895169040137
1997-11-26,0.2478669062218674
1997-11-28,0.23858762164035252
1997-12-01,0.24311755674981603
1997-12-02,0.2342632058177297
1997-12-03,0.2283458981457736
1997-12-04,0.22005738433417774
1997-12-05,0.2113631557296588
1997-12-08,0.20317422868070645
1997-12-09,0.1964623475376389
1997-12-10,0.19936498589270887
1997-12-11,0.22882314306031198
1997-12-12,0.22052754113715595
1997-12-15,0.21288709401934164
1997-12-16,0.20595906098057448
1997-12-17,0.20226907722140822
1997-12-18,0.1956372571878884
1997-12-19,0.1988516411800516
1997-12-22,0.1925893174607564
1997-12-23,0.18551622570546222
1997-12-24,0.1791422563216172
1997-12-26,0.1728940160907832
1997-12-29,0.17792497969650017
1997-12-30,0.1717526384076821
1997-12-31,0.1659687199444522
1998-01-02,0.16536148039975937
1998-01-05,0.16026422308175955
1998-01-06,0.1607353302793135
1998-01-07,0.1568673855203815
1998-01-08,0.17251668441052304
1998-01-09,0.3769549888249259
1998-01-12,0.3673122034455158
1998-01-13,0.3507874382015411
1998-01-14,0.335664732731933
1998-01-15,0.34557246765331295
1998-01-16,0.3307535142670445
1998-01-20,0.3238228015443014
1998-01-21,0.30964211341482606
1998-01-22,0.29600773030446353
1998-01-23,0.28376436562753965
1998-01-26,0.2716906137502729
1998-01-27,0.2650031690376551
1998-01-28,0.25447925416426387
1998-01-29,0.24383905511627954
1998-01-30,0.23379232322726082
1998-02-02,0.22624420788166044
1998-02-03,0.21739198145285854
1998-02-04,0.20970969934650138
1998-02-05,0.21554571394486136
1998-02-06,0.20793757236247615
1998-02-09,0.19994961965455202
1998-02-10,0.19264733997644506
1998-02-11,0.1864907429337982
1998-02-12,0.18422617729302207
1998-02-13,0.18156599791811243
1998-02-17,0.19083938272798937
1998-02-18,0.18408906431398905
1998-02-19,0.18692480734241776
1998-02-20,0.1811375256538523
1998-02-23,0.18670122013527388
1998-02-24,0.19521294834103603
1998-02-25,0.19158347632298564
1998-02-26,0.18457131304728805
1998-02-27,0.17820519184355996
1998-03-02,0.18020300552432528
1998-03-03,0.17745655017496537
1998-03-04,0.19463784524084723
1998-03-05,0.20210692516586362
1998-03-06,0.20451677486211245
1998-03-09,0.20002553936935155
1998-03-10,0.19340226368892377
1998-03-11,0.18628009555505387
1998-03-12,0.17959099531992134
1998-03-13,0.17352623432783876
1998-03-16,0.17597477319206864
1998-03-17,0.17176173497027794
1998-03-18,0.1737001243522871
1998-03-19,0.1686247882133585
1998-03-20,0.165138225738319
1998-03-23,0.1597776905578498
1998-03-24,0.15693465735776785
1998-03-25,0.1529842721327915
1998-03-26,0.15212904574735228
1998-03-27,0.14963747632194282
1998-03-30,0.16898031482986411
1998-03-31,0.16337298185440577
1998-04-01,0.16175593837630814
1998-04-02,0.15759360418494148
1998-04-03,0.1535755222683615
1998-04-06,0.1629988098116057
1998-04-07,0.17849879999596638
1998-04-08,0.17302223209749668
1998-04-09,0.17675107920462607
1998-04-13,0.17082821898035463
1998-04-14,0.17015628698346708
1998-04-15,0.1660132018846694
1998-04-16,0.17960902538569717
1998-04-17,0.17616534392439395
1998-04-20,0.17869323658157854
1998-04-21,0.17524234419797058
1998-04-22,0.16940859482328516
1998-04-23,0.1900392759405276
1998-04-24,0.23774236643896685
1998-04-27,0.25639182982302694
1998-04-28,0.2468308335682558
1998-04-29,0.23795850226457554
1998-04-30,0.2396714250802544
1998-05-01,0.23208096173533924
1998-05-04,0.23150394121915074
1998-05-05,0.2570333822677514
1998-05-06,0.24625163715191825
1998-05-07,0.23606978459769054
1998-05-08,0.22706073901051235
1998-05-11,0.21930338164287388
1998-05-12,0.21145827673562462
1998-05-13,0.20346382184555561
1998-05-14,0.19631767113533105
1998-05-15,0.19150749959205254
1998-05-18,0.2171827617468753
1998-05-19,0.2261718523601025
1998-05-20,0.22774126898741912
1998-05-21,0.21908782074775401
1998-05-22,0.21257513118895166
1998-05-26,0.2055580210062356
1998-05-27,0.2603501081236572
1998-05-28,0.2493850829540532
1998-05-29,0.23954869066642798
1998-06-01,0.2547407458574305
1998-06-02,0.2534782641569095
1998-06-03,0.2430388709651195
1998-06-04,0.23403455898648814
1998-06-05,0.22567202839519124
1998-06-08,0.22119786707832426
1998-06-09,0.21468832571893612
1998-06-10,0.21490038436447712
1998-06-11,0.23998292189237133
1998-06-12,0.2383886003985929
1998-06-15,0.2612065734241771
1998-06-16,0.26663040036725
1998-06-17,0.26223111028251395
1998-06-18,0.2622685859953494
1998-06-19,0.25130077994307937
