资产,omega,omega_tstat,omega_pvalue,alpha,alpha_tstat,alpha_pvalue,beta,beta_tstat,beta_pvalue,mu,mu_tstat,mu_pvalue,log_likelihood,AIC,BIC
SPY,0.02582391646493073,5.233594432413995,1.6624501137287757e-07,0.12119619675724085,10.335692979285986,4.858873674280445e-25,0.8615733176173618,71.96463992285534,0.0,-0.0659912762121563,-6.805934616699136,1.0039530369674221e-11,-10384.485505683699,20776.971011367397,20804.610114062172
EWG,0.033378331255346144,3.754478515137474,0.00017370274295550248,0.0856436660414787,7.186803228434189,6.632589002192014e-13,0.9018951785188095,66.11900992471145,0.0,-0.05093473217277059,-3.620421533589491,0.00029412344072498936,-12780.31676674847,25568.63353349694,25596.272636191716
EWH,0.03249022011687863,3.4793459531473596,0.000502639254250423,0.08714517266140182,5.996341727403816,2.0181211297199997e-09,0.9016943895788158,54.23119484673876,0.0,-0.038405314145550006,-2.694419226651377,0.007051141477014712,-13061.66150915535,26131.3230183107,26158.962121005476
EWU,0.03875614755956041,3.808655968378303,0.00013972420132658516,0.107126271505153,6.595402393561609,4.2410398205785956e-11,0.8742859427694855,47.998662864813426,0.0,-0.032073756127727455,-2.6610095082452916,0.007790675707388464,-11822.01859260581,23652.03718521162,23679.676287906394
