,SPY,EWG,EWH,EWU
SPY,0.9999999999999999,0.6922606561847723,0.5859237341140753,0.6584158426074741
EWG,0.6922606561847723,1.0,0.5513151101048394,0.7493944836335202
EWH,0.5859237341140754,0.5513151101048394,0.9999999999999999,0.5609408259085559
EWU,0.6584158426074741,0.7493944836335203,0.5609408259085559,1.0
