参数,估计值,标准误,t统计量,p值,对数似然值,平均相关系数
alpha_D,0.03528375794196905,0.0031865859791951577,11.072589339290552,0.0,3564.25057238764,0.7492212734778159
beta_D,0.9597262559611902,0.0039004724303854533,246.05384939648144,0.0,,
