参数,估计值,标准误,t统计量,p值,对数似然值,平均相关系数
alpha_D,0.02886923151064447,0.04434051581624473,0.651080191089429,0.5149947229113203,0.5165820886705077,-0.04217354135576009
beta_D,1e-06,9.999999999741709e-11,10000.000000258291,0.0,,
