参数,估计值,标准误,t统计量,p值,对数似然值,平均相关系数
alpha_D,0.034500136230363174,0.05285834627223431,0.6526904200271125,0.5139558797744328,1.2066966210633854,-0.08125709054481736
beta_D,1e-06,9.999999999396648e-11,10000.000000603352,0.0,,
